origin	dest	capacity	length	fft	alpha	beta	speedLimit
16.0	18.0	1800.0	180.0	3.0	0.15	4.0	60.0
17.0	10.0	1800.0	480.0	8.0	0.15	4.0	60.0
17.0	16.0	2200.0	120.0	2.0	0.15	4.0	60.0
17.0	19.0	2200.0	120.0	2.0	0.15	4.0	60.0
18.0	7.0	1800.0	120.0	2.0	0.15	4.0	60.0
18.0	16.0	1800.0	180.0	3.0	0.15	4.0	60.0
18.0	20.0	1800.0	240.0	4.0	0.15	4.0	60.0
19.0	15.0	2200.0	180.0	3.0	0.15	4.0	60.0
19.0	17.0	1800.0	120.0	2.0	0.15	4.0	60.0
19.0	20.0	1800.0	240.0	4.0	0.15	4.0	60.0
20.0	18.0	1800.0	240.0	4.0	0.15	4.0	60.0
20.0	19.0	1800.0	240.0	4.0	0.15	4.0	60.0
20.0	21.0	1800.0	360.0	6.0	0.15	4.0	60.0
20.0	22.0	1800.0	300.0	5.0	0.15	4.0	60.0
21.0	20.0	1800.0	360.0	6.0	0.15	4.0	60.0
21.0	22.0	1800.0	120.0	2.0	0.15	4.0	60.0
21.0	24.0	1800.0	180.0	3.0	0.15	4.0	60.0
22.0	15.0	2200.0	180.0	3.0	0.15	4.0	60.0
22.0	20.0	1800.0	300.0	5.0	0.15	4.0	60.0
22.0	21.0	1800.0	120.0	2.0	0.15	4.0	60.0
22.0	23.0	2200.0	240.0	4.0	0.15	4.0	60.0
23.0	14.0	2200.0	240.0	4.0	0.15	4.0	60.0
23.0	22.0	1800.0	240.0	4.0	0.15	4.0	60.0
23.0	24.0	1800.0	120.0	2.0	0.15	4.0	60.0
24.0	13.0	1800.0	240.0	4.0	0.15	4.0	60.0
24.0	21.0	1800.0	180.0	3.0	0.15	4.0	60.0
24.0	23.0	1800.0	120.0	2.0	0.15	4.0	60.0
25.0	26.0	999999999.0	360.0	72.0	0.15	4.0	5.0
25.0	27.0	999999999.0	240.0	48.0	0.15	4.0	5.0
26.0	25.0	999999999.0	360.0	72.0	0.15	4.0	5.0
26.0	30.0	999999999.0	300.0	60.0	0.15	4.0	5.0
27.0	25.0	999999999.0	240.0	48.0	0.15	4.0	5.0
28.0	27.0	999999999.0	240.0	48.0	0.15	4.0	5.0
27.0	36.0	999999999.0	240.0	48.0	0.15	4.0	5.0
27.0	28.0	999999999.0	240.0	48.0	0.15	4.0	5.0
28.0	29.0	999999999.0	120.0	24.0	0.15	4.0	5.0
28.0	35.0	999999999.0	360.0	72.0	0.15	4.0	5.0
29.0	28.0	999999999.0	120.0	24.0	0.15	4.0	5.0
29.0	30.0	999999999.0	240.0	48.0	0.15	4.0	5.0
29.0	33.0	999999999.0	300.0	60.0	0.15	4.0	5.0
30.0	26.0	999999999.0	300.0	60.0	0.15	4.0	5.0
30.0	29.0	999999999.0	240.0	48.0	0.15	4.0	5.0
30.0	32.0	999999999.0	120.0	24.0	0.15	4.0	5.0
31.0	32.0	999999999.0	180.0	36.0	0.15	4.0	5.0
31.0	42.0	999999999.0	120.0	24.0	0.15	4.0	5.0
32.0	30.0	999999999.0	120.0	24.0	0.15	4.0	5.0
32.0	31.0	999999999.0	180.0	36.0	0.15	4.0	5.0
32.0	33.0	999999999.0	600.0	120.0	0.15	4.0	5.0
32.0	40.0	999999999.0	300.0	60.0	0.15	4.0	5.0
33.0	29.0	999999999.0	300.0	60.0	0.15	4.0	5.0
33.0	32.0	999999999.0	600.0	120.0	0.15	4.0	5.0
33.0	34.0	999999999.0	180.0	36.0	0.15	4.0	5.0
34.0	33.0	999999999.0	180.0	36.0	0.15	4.0	5.0
34.0	35.0	999999999.0	300.0	60.0	0.15	4.0	5.0
34.0	39.0	999999999.0	360.0	72.0	0.15	4.0	5.0
34.0	40.0	999999999.0	240.0	48.0	0.15	4.0	5.0
34.0	41.0	999999999.0	480.0	96.0	0.15	4.0	5.0
35.0	28.0	999999999.0	360.0	72.0	0.15	4.0	5.0
35.0	34.0	999999999.0	300.0	60.0	0.15	4.0	5.0
35.0	36.0	999999999.0	360.0	72.0	0.15	4.0	5.0
35.0	38.0	999999999.0	240.0	48.0	0.15	4.0	5.0
36.0	27.0	999999999.0	240.0	48.0	0.15	4.0	5.0
36.0	35.0	999999999.0	360.0	72.0	0.15	4.0	5.0
36.0	37.0	999999999.0	180.0	36.0	0.15	4.0	5.0
37.0	36.0	999999999.0	180.0	36.0	0.15	4.0	5.0
37.0	48.0	999999999.0	240.0	48.0	0.15	4.0	5.0
38.0	35.0	999999999.0	240.0	48.0	0.15	4.0	5.0
38.0	39.0	999999999.0	300.0	60.0	0.15	4.0	5.0
38.0	47.0	999999999.0	240.0	48.0	0.15	4.0	5.0
39.0	34.0	999999999.0	360.0	72.0	0.15	4.0	5.0
39.0	38.0	999999999.0	300.0	60.0	0.15	4.0	5.0
39.0	43.0	999999999.0	180.0	36.0	0.15	4.0	5.0
39.0	46.0	999999999.0	180.0	36.0	0.15	4.0	5.0
40.0	32.0	999999999.0	300.0	60.0	0.15	4.0	5.0
40.0	34.0	999999999.0	240.0	48.0	0.15	4.0	5.0
40.0	41.0	999999999.0	120.0	24.0	0.15	4.0	5.0
40.0	42.0	999999999.0	180.0	36.0	0.15	4.0	5.0
41.0	34.0	999999999.0	480.0	96.0	0.15	4.0	5.0
41.0	40.0	999999999.0	120.0	24.0	0.15	4.0	5.0
41.0	43.0	999999999.0	120.0	24.0	0.15	4.0	5.0
42.0	31.0	999999999.0	120.0	24.0	0.15	4.0	5.0
42.0	40.0	999999999.0	180.0	36.0	0.15	4.0	5.0
42.0	44.0	999999999.0	240.0	48.0	0.15	4.0	5.0
43.0	39.0	999999999.0	180.0	36.0	0.15	4.0	5.0
43.0	41.0	999999999.0	120.0	24.0	0.15	4.0	5.0
43.0	44.0	999999999.0	240.0	48.0	0.15	4.0	5.0
44.0	42.0	999999999.0	240.0	48.0	0.15	4.0	5.0
44.0	43.0	999999999.0	240.0	48.0	0.15	4.0	5.0
44.0	45.0	999999999.0	360.0	72.0	0.15	4.0	5.0
44.0	46.0	999999999.0	300.0	60.0	0.15	4.0	5.0
45.0	44.0	999999999.0	360.0	72.0	0.15	4.0	5.0
45.0	46.0	999999999.0	120.0	24.0	0.15	4.0	5.0
45.0	48.0	999999999.0	180.0	36.0	0.15	4.0	5.0
46.0	39.0	999999999.0	180.0	36.0	0.15	4.0	5.0
46.0	44.0	999999999.0	300.0	60.0	0.15	4.0	5.0
46.0	45.0	999999999.0	120.0	24.0	0.15	4.0	5.0
46.0	47.0	999999999.0	240.0	48.0	0.15	4.0	5.0
47.0	38.0	999999999.0	240.0	48.0	0.15	4.0	5.0
47.0	46.0	999999999.0	240.0	48.0	0.15	4.0	5.0
47.0	48.0	999999999.0	120.0	24.0	0.15	4.0	5.0
48.0	37.0	999999999.0	240.0	48.0	0.15	4.0	5.0
48.0	45.0	999999999.0	180.0	36.0	0.15	4.0	5.0
48.0	47.0	999999999.0	120.0	24.0	0.15	4.0	5.0
49.0	50.0	999999999.0	360.0	3.0	0.15	4.0	120.0
49.0	51.0	999999999.0	240.0	2.0	0.15	4.0	120.0
50.0	49.0	999999999.0	360.0	3.0	0.15	4.0	120.0
50.0	54.0	999999999.0	300.0	2.5	0.15	4.0	120.0
51.0	49.0	999999999.0	240.0	2.0	0.15	4.0	120.0
52.0	51.0	999999999.0	240.0	2.0	0.15	4.0	120.0
51.0	60.0	999999999.0	240.0	2.0	0.15	4.0	120.0
51.0	52.0	999999999.0	240.0	2.0	0.15	4.0	120.0
52.0	53.0	999999999.0	120.0	1.0	0.15	4.0	120.0
52.0	59.0	999999999.0	360.0	3.0	0.15	4.0	120.0
53.0	52.0	999999999.0	120.0	1.0	0.15	4.0	120.0
53.0	54.0	999999999.0	240.0	2.0	0.15	4.0	120.0
53.0	57.0	999999999.0	300.0	2.5	0.15	4.0	120.0
54.0	50.0	999999999.0	300.0	2.5	0.15	4.0	120.0
54.0	53.0	999999999.0	240.0	2.0	0.15	4.0	120.0
54.0	56.0	999999999.0	120.0	1.0	0.15	4.0	120.0
55.0	56.0	999999999.0	180.0	1.5	0.15	4.0	120.0
55.0	66.0	999999999.0	120.0	1.0	0.15	4.0	120.0
56.0	54.0	999999999.0	120.0	1.0	0.15	4.0	120.0
56.0	55.0	999999999.0	180.0	1.5	0.15	4.0	120.0
56.0	57.0	999999999.0	600.0	5.0	0.15	4.0	120.0
56.0	64.0	999999999.0	300.0	2.5	0.15	4.0	120.0
57.0	53.0	999999999.0	300.0	2.5	0.15	4.0	120.0
57.0	56.0	999999999.0	600.0	5.0	0.15	4.0	120.0
57.0	58.0	999999999.0	180.0	1.5	0.15	4.0	120.0
58.0	57.0	999999999.0	180.0	1.5	0.15	4.0	120.0
58.0	59.0	999999999.0	300.0	2.5	0.15	4.0	120.0
58.0	63.0	999999999.0	360.0	3.0	0.15	4.0	120.0
58.0	64.0	999999999.0	240.0	2.0	0.15	4.0	120.0
58.0	65.0	999999999.0	480.0	4.0	0.15	4.0	120.0
59.0	52.0	999999999.0	360.0	3.0	0.15	4.0	120.0
59.0	58.0	999999999.0	300.0	2.5	0.15	4.0	120.0
59.0	60.0	999999999.0	360.0	3.0	0.15	4.0	120.0
59.0	62.0	999999999.0	240.0	2.0	0.15	4.0	120.0
60.0	51.0	999999999.0	240.0	2.0	0.15	4.0	120.0
60.0	59.0	999999999.0	360.0	3.0	0.15	4.0	120.0
60.0	61.0	999999999.0	180.0	1.5	0.15	4.0	120.0
61.0	60.0	999999999.0	180.0	1.5	0.15	4.0	120.0
61.0	72.0	999999999.0	240.0	2.0	0.15	4.0	120.0
62.0	59.0	999999999.0	240.0	2.0	0.15	4.0	120.0
62.0	63.0	999999999.0	300.0	2.5	0.15	4.0	120.0
62.0	71.0	999999999.0	240.0	2.0	0.15	4.0	120.0
63.0	58.0	999999999.0	360.0	3.0	0.15	4.0	120.0
63.0	62.0	999999999.0	300.0	2.5	0.15	4.0	120.0
63.0	67.0	999999999.0	180.0	1.5	0.15	4.0	120.0
63.0	70.0	999999999.0	180.0	1.5	0.15	4.0	120.0
64.0	56.0	999999999.0	300.0	2.5	0.15	4.0	120.0
64.0	58.0	999999999.0	240.0	2.0	0.15	4.0	120.0
64.0	65.0	999999999.0	120.0	1.0	0.15	4.0	120.0
64.0	66.0	999999999.0	180.0	1.5	0.15	4.0	120.0
65.0	58.0	999999999.0	480.0	4.0	0.15	4.0	120.0
65.0	64.0	999999999.0	120.0	1.0	0.15	4.0	120.0
65.0	67.0	999999999.0	120.0	1.0	0.15	4.0	120.0
66.0	55.0	999999999.0	120.0	1.0	0.15	4.0	120.0
66.0	64.0	999999999.0	180.0	1.5	0.15	4.0	120.0
66.0	68.0	999999999.0	240.0	2.0	0.15	4.0	120.0
67.0	63.0	999999999.0	180.0	1.5	0.15	4.0	120.0
67.0	65.0	999999999.0	120.0	1.0	0.15	4.0	120.0
67.0	68.0	999999999.0	240.0	2.0	0.15	4.0	120.0
68.0	66.0	999999999.0	240.0	2.0	0.15	4.0	120.0
68.0	67.0	999999999.0	240.0	2.0	0.15	4.0	120.0
68.0	69.0	999999999.0	360.0	3.0	0.15	4.0	120.0
68.0	70.0	999999999.0	300.0	2.5	0.15	4.0	120.0
69.0	68.0	999999999.0	360.0	3.0	0.15	4.0	120.0
69.0	70.0	999999999.0	120.0	1.0	0.15	4.0	120.0
69.0	72.0	999999999.0	180.0	1.5	0.15	4.0	120.0
70.0	63.0	999999999.0	180.0	1.5	0.15	4.0	120.0
70.0	68.0	999999999.0	300.0	2.5	0.15	4.0	120.0
70.0	69.0	999999999.0	120.0	1.0	0.15	4.0	120.0
70.0	71.0	999999999.0	240.0	2.0	0.15	4.0	120.0
71.0	62.0	999999999.0	240.0	2.0	0.15	4.0	120.0
71.0	70.0	999999999.0	240.0	2.0	0.15	4.0	120.0
71.0	72.0	999999999.0	120.0	1.0	0.15	4.0	120.0
72.0	61.0	999999999.0	240.0	2.0	0.15	4.0	120.0
72.0	69.0	999999999.0	180.0	1.5	0.15	4.0	120.0
72.0	71.0	999999999.0	120.0	1.0	0.15	4.0	120.0
0.0	24.0	999999999.0	0.0	0.0	0.15	4.0	120.0
1.0	25.0	999999999.0	0.0	0.0	0.15	4.0	120.0
2.0	26.0	999999999.0	0.0	0.0	0.15	4.0	120.0
3.0	27.0	999999999.0	0.0	0.0	0.15	4.0	120.0
4.0	28.0	999999999.0	0.0	0.0	0.15	4.0	120.0
5.0	29.0	999999999.0	0.0	0.0	0.15	4.0	120.0
6.0	30.0	999999999.0	0.0	0.0	0.15	4.0	120.0
7.0	31.0	999999999.0	0.0	0.0	0.15	4.0	120.0
8.0	32.0	999999999.0	0.0	0.0	0.15	4.0	120.0
9.0	33.0	999999999.0	0.0	0.0	0.15	4.0	120.0
10.0	34.0	999999999.0	0.0	0.0	0.15	4.0	120.0
11.0	35.0	999999999.0	0.0	0.0	0.15	4.0	120.0
12.0	36.0	999999999.0	0.0	0.0	0.15	4.0	120.0
13.0	37.0	999999999.0	0.0	0.0	0.15	4.0	120.0
14.0	38.0	999999999.0	0.0	0.0	0.15	4.0	120.0
15.0	39.0	999999999.0	0.0	0.0	0.15	4.0	120.0
16.0	40.0	999999999.0	0.0	0.0	0.15	4.0	120.0
17.0	41.0	999999999.0	0.0	0.0	0.15	4.0	120.0
18.0	42.0	999999999.0	0.0	0.0	0.15	4.0	120.0
19.0	43.0	999999999.0	0.0	0.0	0.15	4.0	120.0
20.0	44.0	999999999.0	0.0	0.0	0.15	4.0	120.0
21.0	45.0	999999999.0	0.0	0.0	0.15	4.0	120.0
22.0	46.0	999999999.0	0.0	0.0	0.15	4.0	120.0
23.0	47.0	999999999.0	0.0	0.0	0.15	4.0	120.0
24.0	48.0	999999999.0	0.0	0.0	0.15	4.0	120.0
25.0	49.0	999999999.0	0.0	0.0	0.15	4.0	120.0
26.0	50.0	999999999.0	0.0	0.0	0.15	4.0	120.0
27.0	51.0	999999999.0	0.0	0.0	0.15	4.0	120.0
28.0	52.0	999999999.0	0.0	0.0	0.15	4.0	120.0
29.0	53.0	999999999.0	0.0	0.0	0.15	4.0	120.0
30.0	54.0	999999999.0	0.0	0.0	0.15	4.0	120.0
31.0	55.0	999999999.0	0.0	0.0	0.15	4.0	120.0
32.0	56.0	999999999.0	0.0	0.0	0.15	4.0	120.0
33.0	57.0	999999999.0	0.0	0.0	0.15	4.0	120.0
34.0	58.0	999999999.0	0.0	0.0	0.15	4.0	120.0
35.0	59.0	999999999.0	0.0	0.0	0.15	4.0	120.0
36.0	60.0	999999999.0	0.0	0.0	0.15	4.0	120.0
37.0	61.0	999999999.0	0.0	0.0	0.15	4.0	120.0
38.0	62.0	999999999.0	0.0	0.0	0.15	4.0	120.0
39.0	63.0	999999999.0	0.0	0.0	0.15	4.0	120.0
40.0	64.0	999999999.0	0.0	0.0	0.15	4.0	120.0
41.0	65.0	999999999.0	0.0	0.0	0.15	4.0	120.0
42.0	66.0	999999999.0	0.0	0.0	0.15	4.0	120.0
43.0	67.0	999999999.0	0.0	0.0	0.15	4.0	120.0
44.0	68.0	999999999.0	0.0	0.0	0.15	4.0	120.0
45.0	69.0	999999999.0	0.0	0.0	0.15	4.0	120.0
46.0	70.0	999999999.0	0.0	0.0	0.15	4.0	120.0
47.0	71.0	999999999.0	0.0	0.0	0.15	4.0	120.0
